
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
0C:7C:28:D7:DE:D8, 2022-05-24 23:28:25, 2022-05-24 23:28:25,  1, 130, WPA2, CCMP, PSK, -78,        2,        0,   0.  0.  0.  0,  10, NOKIA-0770, 
30:23:03:41:CE:27, 2022-05-24 23:28:25, 2022-05-24 23:28:28,  1,  -1, WPA, ,   , -81,        0,        2,   0.  0.  0.  0,   0, , 
14:EB:B6:05:EE:19, 2022-05-24 23:28:25, 2022-05-24 23:28:29,  3, 270, WPA2, CCMP, PSK, -103,        4,        2,   0.  0.  0.  0,   8, Jaja Oni, 
C8:B4:22:7C:6C:7B, 2022-05-24 23:28:25, 2022-05-24 23:28:26,  1, 540, WPA2, CCMP, PSK, -77,        2,        0,   0.  0.  0.  0,  14, Askey5100-757A, 
62:7C:28:D7:DE:DF, 2022-05-24 23:28:25, 2022-05-24 23:28:25,  1, 130, WPA2, CCMP, PSK, -79,        1,        0,   0.  0.  0.  0,   8, , 
62:6C:9A:86:ED:88, 2022-05-24 23:28:26, 2022-05-24 23:28:26,  1, 130, WPA2, CCMP, PSK, -81,        1,        0,   0.  0.  0.  0,  15, , 
EC:6C:9A:86:ED:8A, 2022-05-24 23:28:26, 2022-05-24 23:28:26,  1, 130, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,  12, SINGTEL-6DE9, 
60:E3:27:21:41:E1, 2022-05-24 23:28:26, 2022-05-24 23:28:27,  7, 720, WPA2 WPA, CCMP TKIP, PSK,  16,        6,        0,   0.  0.  0.  0,   9, DEEZ_NUTS, 
AC:9E:17:93:BE:78, 2022-05-24 23:28:26, 2022-05-24 23:28:29,  7, 195, WPA2, CCMP, PSK, -62,        7,       25,   0.  0.  0.  0,  13, Chua (2.4GHz), 
04:D4:C4:30:31:50, 2022-05-24 23:28:26, 2022-05-24 23:28:29,  7, 270, WPA2, CCMP, PSK, -56,       13,        0,   0.  0.  0.  0,   0, , 
F0:86:20:A5:3E:AE, 2022-05-24 23:28:26, 2022-05-24 23:28:26,  7, 130, WPA2, CCMP, PSK, -79,        1,        1,   0.  0.  0.  0,  18, SINGTEL-3EAE(2.4G), 
84:D8:1B:DB:BF:C3, 2022-05-24 23:28:26, 2022-05-24 23:28:26,  6, 360, WPA2, CCMP, PSK, -77,        1,        0,   0.  0.  0.  0,  12, SINGTEL-EC5F, 
60:45:CB:14:16:F8, 2022-05-24 23:28:26, 2022-05-24 23:28:26,  7, 130, WPA2, CCMP, PSK, -80,        2,        0,   0.  0.  0.  0,   5, waklu, 
F0:2F:74:7A:14:38, 2022-05-24 23:28:26, 2022-05-24 23:28:26,  6, 360, WPA2, CCMP, PSK, -76,        1,        0,   0.  0.  0.  0,  11, Jeffrey How, 
44:FE:3B:5C:01:D0, 2022-05-24 23:28:26, 2022-05-24 23:28:29,  5, 130, WPA2, CCMP, PSK, -70,        6,        0,   0.  0.  0.  0,  12, SINGTEL-01D0, 
7C:10:C9:1A:01:38, 2022-05-24 23:28:26, 2022-05-24 23:28:28,  9, 360, WPA2, CCMP, PSK, -70,        3,        0,   0.  0.  0.  0,   8, republic, 
18:31:BF:31:66:00, 2022-05-24 23:28:26, 2022-05-24 23:28:30, 11, 260, WPA2, CCMP, PSK, -68,        8,        5,   0.  0.  0.  0,  11, Manbajau 2G, 
24:4B:FE:A3:F6:70, 2022-05-24 23:28:26, 2022-05-24 23:28:29, 11, 720, WPA2, CCMP, PSK, -74,        2,        0,   0.  0.  0.  0,  15, MyRepublic C38C, 
26:F5:A2:8E:FF:43, 2022-05-24 23:28:26, 2022-05-24 23:28:27, 13, 720, OPN, ,   , -85,        3,        0,   0.  0.  0.  0,  18, Linksys05412-guest, 
B6:39:56:7A:E0:8E, 2022-05-24 23:28:26, 2022-05-24 23:28:26, 13, 360, WPA2, CCMP, PSK, -87,        1,        2,   0.  0.  0.  0,  14, Not A Pokestop, 
BA:39:56:7A:E0:8E, 2022-05-24 23:28:27, 2022-05-24 23:28:27, 13, 360, WPA2, CCMP, PSK, -87,        1,        0,   0.  0.  0.  0,   0, , 
0C:8E:29:21:E7:E2, 2022-05-24 23:28:27, 2022-05-24 23:28:27,  2, 130, WPA2, CCMP, PSK, -73,        1,        0,   0.  0.  0.  0,  17, Grand Haven(2.4G), 
60:45:CB:13:AF:B8, 2022-05-24 23:28:27, 2022-05-24 23:28:27,  8, 130, WPA2, CCMP, PSK, -78,        2,        1,   0.  0.  0.  0,   4, ASUS, 
3C:7C:3F:AF:C9:08, 2022-05-24 23:28:27, 2022-05-24 23:28:27,  8, 360, WPA2, CCMP, PSK, -79,        2,        0,   0.  0.  0.  0,  15, MyRepublic 6022, 
5E:EF:68:32:BB:F1, 2022-05-24 23:28:27, 2022-05-24 23:28:27,  8, 360, WPA2, CCMP, PSK, -86,        1,        0,   0.  0.  0.  0,   0, , 
D2:32:E5:EA:09:E1, 2022-05-24 23:28:27, 2022-05-24 23:28:28,  9, 360, WPA2, CCMP TKIP, PSK, -82,        1,        2,   0.  0.  0.  0,  18, Clean up your mess, 
8E:19:B5:A5:E2:4D, 2022-05-24 23:28:27, 2022-05-24 23:28:27,  3, 720, WPA2, CCMP, PSK, -82,        1,        0,   0.  0.  0.  0,   0, , 
FC:34:97:39:16:00, 2022-05-24 23:28:28, 2022-05-24 23:28:28,  3, 540, WPA3 WPA2, CCMP, SAE PSK, -69,        1,        0,   0.  0.  0.  0,  14, Red Comet 2.4G, 
14:EB:B6:12:BE:C4, 2022-05-24 23:28:28, 2022-05-24 23:28:28,  9, 130, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,  12, TP-Link_BEC4, 
D2:32:E5:E9:EC:86, 2022-05-24 23:28:28, 2022-05-24 23:28:28,  9, 360, WPA2, CCMP TKIP, PSK, -85,        1,        1,   0.  0.  0.  0,  18, Clean up your mess, 
CC:32:E5:E9:EC:86, 2022-05-24 23:28:28, 2022-05-24 23:28:28,  9, 360, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,   0, , 
CC:32:E5:EA:09:E1, 2022-05-24 23:28:28, 2022-05-24 23:28:28,  9, 360, WPA2, CCMP, PSK, -80,        1,        0,   0.  0.  0.  0,   0, , 
