
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
26:F5:A2:8E:FF:43, 2022-05-19 07:47:24, 2022-05-19 07:47:24, 13, 720, OPN, ,   , -83,        1,        0,   0.  0.  0.  0,  18, Linksys05412-guest, 
24:F5:A2:8E:FF:43, 2022-05-19 07:47:24, 2022-05-19 07:47:24, 13, 720, WPA2, CCMP, PSK, -80,        2,        0,   0.  0.  0.  0,  12, Linksys05412, 
D8:EC:5E:6B:6A:8C, 2022-05-19 07:47:24, 2022-05-19 07:47:24, 13, 360, WPA2, CCMP, PSK, -80,        2,        0,   0.  0.  0.  0,  13, rickiereshvin, 
DE:EC:5E:6B:6A:8C, 2022-05-19 07:47:24, 2022-05-19 07:47:24, 13, 360, WPA2, CCMP, PSK, -80,        3,        0,   0.  0.  0.  0,   0, , 
0C:8E:29:21:E7:E2, 2022-05-19 07:47:23, 2022-05-19 07:47:23,  7, 130, WPA2, CCMP, PSK, -74,        1,        0,   0.  0.  0.  0,  17, Grand Haven(2.4G), 
F4:17:B8:01:88:22, 2022-05-19 07:47:24, 2022-05-19 07:47:24,  1, 130, WPA2, CCMP, PSK, -73,        1,        0,   0.  0.  0.  0,  16, AirTies4920_947N, 
18:31:BF:31:66:00, 2022-05-19 07:47:25, 2022-05-19 07:47:25,  3, 260, WPA2, CCMP, PSK, -72,        2,        1,   0.  0.  0.  0,  11, Manbajau 2G, 
7C:10:C9:D7:F5:90, 2022-05-19 07:47:25, 2022-05-19 07:47:25,  4, 360, WPA2, CCMP, PSK, -69,        1,        1,   0.  0.  0.  0,  10, LIM FAMILY, 
04:D4:C4:30:31:50, 2022-05-19 07:47:23, 2022-05-19 07:47:28,  7, 270, WPA2, CCMP, PSK, -68,        7,        0,   0.  0.  0.  0,   0, , 
3C:7C:3F:AF:C9:08, 2022-05-19 07:47:26, 2022-05-19 07:47:26, 11,  -1, WPA, ,   , -68,        0,        1,   0.  0.  0.  0,   0, , 
D6:86:60:A3:6A:BA, 2022-05-19 07:47:26, 2022-05-19 07:47:26, 11, 720, WPA2, CCMP, PSK, -65,        1,        0,   0.  0.  0.  0,   0, , 
FC:34:97:39:16:00, 2022-05-19 07:47:25, 2022-05-19 07:47:25,  3, 540, WPA3 WPA2, CCMP, SAE PSK, -64,        1,        0,   0.  0.  0.  0,  14, Red Comet 2.4G, 
F0:2F:74:C7:07:E0, 2022-05-19 07:47:25, 2022-05-19 07:47:25,  4, 720, WPA2, CCMP, PSK, -62,        0,        0,   0.  0.  0.  0,   3, MOO, 
AC:9E:17:93:BE:78, 2022-05-19 07:47:23, 2022-05-19 07:47:29,  7, 195, WPA2, CCMP, PSK, -108,       11,      185,   0.  0.  0.  0,  13, Chua (2.4GHz), 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
5C:87:9C:90:2F:7C, 2022-05-19 07:47:28, 2022-05-19 07:47:28, -52,        1, AC:9E:17:93:BE:78,
02:0F:B5:4D:00:DE, 2022-05-19 07:47:23, 2022-05-19 07:47:28,   0,      166, AC:9E:17:93:BE:78,
48:83:B4:68:A4:39, 2022-05-19 07:47:29, 2022-05-19 07:47:29, -72,        1, AC:9E:17:93:BE:78,
